text,label,label_id
"leaf edges yellow, from the tip",Bacterial Blight,0
yellow stripe down the leaf edge,Bacterial Blight,0
"white stripe, leaf margin",Bacterial Blight,0
"tip yellowing, spreading down",Bacterial Blight,0
"wavy yellow margin, leaf edge",Bacterial Blight,0
"leaf tip white, spreading inward",Bacterial Blight,0
"yellow to white stripe, from tip",Bacterial Blight,0
"water-soaked margin, leaf edge",Bacterial Blight,0
"yellow lesion, along leaf vein",Bacterial Blight,0
"pale yellow strip, full leaf length",Bacterial Blight,0
"creamy yellow border, leaf margin",Bacterial Blight,0
"leaf tip drying, yellow color",Bacterial Blight,0
"yellow stripes, both leaf edges",Bacterial Blight,0
"white necrotic margin, paddy leaf",Bacterial Blight,0
"greasy yellow patch, leaf edge",Bacterial Blight,0
"lesion from tip, down the blade",Bacterial Blight,0
"yellow then straw color, leaf border",Bacterial Blight,0
leaf edge turning straw-colored,Bacterial Blight,0
"pale stripe, from tip to base",Bacterial Blight,0
"water-soaked spots, leaf margin",Bacterial Blight,0
"vein-limited yellow lesion, leaf",Bacterial Blight,0
yellowing along the vein,Bacterial Blight,0
lesion runs along midrib,Bacterial Blight,0
"yellow band, following the vein",Bacterial Blight,0
"stripe along leaf vein, from tip",Bacterial Blight,0
"angular yellow patch, vein edge",Bacterial Blight,0
"yellow patch, vein-limited",Bacterial Blight,0
"white stripe, following leaf vein",Bacterial Blight,0
"pale yellow, vein-delimited lesion",Bacterial Blight,0
"yellow wave, down the leaf blade",Bacterial Blight,0
"seedling wilting, kresek symptom",Bacterial Blight,0
"young seedling dried up, blight",Bacterial Blight,0
"seedling rolled up, grayish green",Bacterial Blight,0
"kresek, whole tiller wilted",Bacterial Blight,0
"seedling yellow, rolled leaf",Bacterial Blight,0
"young plant dried, blight infection",Bacterial Blight,0
"seedling leaves grey-green, rolled",Bacterial Blight,0
"tiller wilting, blight",Bacterial Blight,0
"plant wilting, yellow margin",Bacterial Blight,0
"whole seedling dead, blight",Bacterial Blight,0
"white ooze from cut stem, in water",Bacterial Blight,0
"milky liquid, stem cut test",Bacterial Blight,0
"bacterial ooze, white droplets",Bacterial Blight,0
"cut stem, white liquid in water",Bacterial Blight,0
"turbid white liquid, stem test",Bacterial Blight,0
"white secretion, from stem",Bacterial Blight,0
"sticky white ooze, stem cut",Bacterial Blight,0
"ooze visible, stem dipped in water",Bacterial Blight,0
"milky discharge, cut end of stem",Bacterial Blight,0
"white exudate, stem in water",Bacterial Blight,0
"creamy droplets, from cut stem",Bacterial Blight,0
"bacterial liquid, stem test positive",Bacterial Blight,0
"white cloudiness, stem water test",Bacterial Blight,0
ooze from leaf vein cut,Bacterial Blight,0
"milky white drops, stem test",Bacterial Blight,0
"roots smell bad, blight infection",Bacterial Blight,0
"foul root odor, paddy plant",Bacterial Blight,0
"root rot smell, alongside yellowing",Bacterial Blight,0
"plant growth stunted, blight",Bacterial Blight,0
"plant shorter than normal, blight",Bacterial Blight,0
"slow growth, yellow leaf margins",Bacterial Blight,0
"stunted paddy, yellow stripes",Bacterial Blight,0
"reduced height, bacterial infection",Bacterial Blight,0
"poor tillering, blight",Bacterial Blight,0
"plant small, yellow leaf edges",Bacterial Blight,0
"roots putrid, bacterial blight",Bacterial Blight,0
"root bad smell, paddy",Bacterial Blight,0
"smelly roots, leaf yellowing",Bacterial Blight,0
"stunted plant, leaf tip white",Bacterial Blight,0
"poor growth, stripe on leaf",Bacterial Blight,0
"flag leaf yellow, blight",Bacterial Blight,0
"upper leaves yellowing, blight",Bacterial Blight,0
"flag leaf stripe, white",Bacterial Blight,0
"leaf at top, yellowing from tip",Bacterial Blight,0
"blight on flag leaf, heading stage",Bacterial Blight,0
"panicle leaf yellow, blight",Bacterial Blight,0
"yellow flag leaf, stripe",Bacterial Blight,0
"whitening flag leaf, bacterial",Bacterial Blight,0
"top leaf yellow, stripe down",Bacterial Blight,0
flag leaf white border,Bacterial Blight,0
"leaf edge necrotic, white",Bacterial Blight,0
"old lesion white, dried",Bacterial Blight,0
"straw-colored patch, leaf edge",Bacterial Blight,0
"dried white margin, leaf",Bacterial Blight,0
"necrotic border, leaf blade",Bacterial Blight,0
"brown then white edge, leaf",Bacterial Blight,0
"dried lesion, from tip",Bacterial Blight,0
"white dry patch, leaf margin",Bacterial Blight,0
"brown-white stripe, dried leaf edge",Bacterial Blight,0
"dead tissue, leaf margin",Bacterial Blight,0
"blight worse, after heavy rain",Bacterial Blight,0
blight in high nitrogen field,Bacterial Blight,0
"yellow stripe, wet season",Bacterial Blight,0
bacterial stripe after flooding,Bacterial Blight,0
blight after transplanting,Bacterial Blight,0
"leaf stripe, irrigated field",Bacterial Blight,0
"yellow leaves, high nitrogen",Bacterial Blight,0
blight spreads after rain,Bacterial Blight,0
"milky ooze, morning dew",Bacterial Blight,0
"wet field, blight spreading",Bacterial Blight,0
"water-soaked morning, leaf edge",Bacterial Blight,0
"greasy lesion, early morning",Bacterial Blight,0
"translucent patch, leaf edge",Bacterial Blight,0
"wet-looking margin, morning",Bacterial Blight,0
"early sign, pale yellow margin",Bacterial Blight,0
"small yellow spot, leaf tip",Bacterial Blight,0
"tiny water-soaked dot, leaf edge",Bacterial Blight,0
"early blight, pale stripe leaf",Bacterial Blight,0
"first sign, tip discoloration",Bacterial Blight,0
"wet edge, first symptom",Bacterial Blight,0
"susceptible variety, yellow stripe",Bacterial Blight,0
"severe blight, whole leaf yellow",Bacterial Blight,0
blight in BG-403 variety,Bacterial Blight,0
"entire leaf blade yellowing, severe",Bacterial Blight,0
"all leaves yellowing, severe blight",Bacterial Blight,0
"multiple leaves, blight at once",Bacterial Blight,0
"complete leaf death, severe",Bacterial Blight,0
"yield loss, bacterial blight",Bacterial Blight,0
"70 percent yield loss, blight",Bacterial Blight,0
"crop failure, bacterial blight",Bacterial Blight,0
"leaf tips white, veins yellow",Bacterial Blight,0
"yellow border, leaf turning straw",Bacterial Blight,0
"stripe from tip, white then dry",Bacterial Blight,0
"margin pale, lesion spreading",Bacterial Blight,0
"leaf blade striped, yellow white",Bacterial Blight,0
"both margins, yellow stripe",Bacterial Blight,0
"yellowing from edge, inward",Bacterial Blight,0
"lesion widening, toward midrib",Bacterial Blight,0
"leaf edge pale, then necrotic",Bacterial Blight,0
"white dried margin, paddy",Bacterial Blight,0
"yellow stripe, tip to base",Bacterial Blight,0
"white ooze, stem test",Bacterial Blight,0
"kresek, seedling",Bacterial Blight,0
"root smell, blight",Bacterial Blight,0
"stunted, yellow leaf",Bacterial Blight,0
"leaf margin, white",Bacterial Blight,0
"vein lesion, yellow",Bacterial Blight,0
"wavy yellow, margin",Bacterial Blight,0
"ooze, bacterial blight",Bacterial Blight,0
"tip yellowing, paddy",Bacterial Blight,0
